Repair Level,trajet,catr,circ,nbv,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col,catv,obs,obsm,choc,pieton,sexe_conducteur,age
0.0,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278,0.6470218025339278
0.1,0.6473706865175799,0.6458082778227212,0.647611811794101,0.6470211443398777,0.6462215414118933,0.6505779529963471,0.6443450713123429,0.6465175333330551,0.6453368566186585,0.645772138855661,0.6470392138234079,0.648008322287843,0.6461022951617328,0.6439840415916112,0.6480625307384335,0.6463789012112642,0.6463460532144542,0.646865759122657,0.6463099142473939,0.643442975229628,0.6475247553467005,0.6467090575173361,0.6471778459451987,0.6484784271038058
0.2,0.640353638612921,0.6420760398833507,0.6469689104714375,0.6415211514463166,0.6518174455196845,0.5607828012907432,0.6482494475643642,0.5848648257623569,0.6453000594575482,0.6469032144778173,0.6471088589813283,0.5585232828226306,0.6500644690787738,0.6416923333207385,0.6544175896929774,0.6462396108954234,0.6381135060164387,0.6409932489653344,0.6440175477824712,0.6443644571839731,0.6454045271944288,0.645979757941322,0.6488969562453781,0.5605860115540617
0.30000000000000004,0.6423352346434021,0.6326105821024985,0.6467412473200961,0.6053078290269376,0.6256034071085903,0.537705067812396,0.5832935005949766,0.5852137097460088,0.642734614451831,0.646312547023594,0.6451105098554172,0.561129052498195,0.6093423425837914,0.6362409850811885,0.6579083424059555,0.6473861232249098,0.6392104172536849,0.6419314840151096,0.6440697816509116,0.6376512995290766,0.6444308113716433,0.6456482852471501,0.6475576033435106,0.5407336140380121
0.4,0.6435192023280488,0.6369735756274528,0.6445868547829141,0.6036127119567387,0.6219805425086298,0.5393886973395653,0.5828066426835838,0.5833191701629283,0.6403144452140972,0.6416246627449682,0.6459268658788317,0.5597246617967575,0.6200778063527697,0.6301989693874153,0.6627693214354612,0.6484114147220854,0.6320882434180954,0.6403335945472408,0.6459301568490818,0.6346296334881398,0.6443430967301927,0.6461699657375031,0.6465316536522849,0.5484283858442947
0.5,0.6382225811116696,0.6262423592669537,0.6460983459974325,0.612830400814877,0.635141081117871,0.551556792448441,0.5762757944962678,0.577719316890837,0.6362448108341043,0.6398713880598786,0.6462925029579139,0.5332474794613118,0.6238504306676798,0.6293845879461509,0.6721328208442486,0.6498693556800634,0.6283064043864849,0.6403878029978312,0.6437241886375098,0.6335527663165739,0.6446906643257447,0.6464137237902244,0.6469127274386969,0.5653990041236063
0.6,0.6019034128616177,0.5619828638767699,0.5640929208741121,0.5446468347725809,0.6294632627036953,0.4879089650163897,0.5558113690722144,0.5446103461399315,0.5378140194962426,0.6354052431861439,0.6085276011926558,0.5007535910501735,0.5331568337994821,0.5715682261018328,0.5541632614551835,0.5801689814494383,0.5901167514890252,0.5930838491295003,0.6026265521526946,0.5975240261911045,0.654641180268634,0.6083203420568659,0.6334867103730827,0.504278209903883
0.7,0.6020446777596087,0.562663220554594,0.5613458863005567,0.5420509380077672,0.635544348384908,0.47010307791900685,0.5545249082328372,0.5423025429676789,0.5371422193410692,0.6329026248593599,0.6065821441292351,0.5023882776791526,0.5217705703792397,0.5679397977052929,0.5560047855643894,0.5813496581638349,0.583869091291741,0.5891755237131787,0.6010828711354161,0.5958926305323755,0.6569496416349367,0.6093456335540415,0.6339019485444048,0.5043471968677533
0.7999999999999999,0.597058826977671,0.5658100565921416,0.563360988521898,0.49090781023549745,0.5954297041452712,0.45420057488725196,0.5320674609409654,0.5418183178324865,0.561248113631279,0.6323313432767668,0.6072779375143891,0.49698521414374264,0.5208671579084246,0.5675948628859411,0.5321411478217243,0.5682442844434129,0.5685698950968266,0.5883953066568245,0.5980618632885296,0.5903194032664649,0.6546835412263237,0.606530928404716,0.63483886720608,0.5000335061908601
0.8999999999999999,0.5965732854543784,0.5604444484118919,0.564297907183573,0.5439750757545356,0.5401570669030187,0.4999129435525995,0.5320326383620051,0.5630905427573036,0.5508467553326728,0.6264092320272041,0.6075739294355507,0.49996517742103985,0.5189450358809344,0.5608235476161538,0.5724931121535305,0.5629427576245045,0.557371206696565,0.5836893528946685,0.5935815980955649,0.5801473227514791,0.657128660132267,0.6064097075724053,0.6342810477486668,0.5
0.9999999999999999,0.5936380176667921,0.556277586429569,0.5660331123851325,0.5435820927695306,0.5402060098012087,0.5,0.5313723257498615,0.5606963413317005,0.5470521123699323,0.6254374907865689,0.6077480423303516,0.5,0.5132499295886631,0.5557907285181762,0.5746366753417328,0.5646277035397738,0.5449583353910468,0.5824229361209716,0.5938969758883568,0.5755478113083539,0.6551082923585254,0.6059583304340228,0.6358079756705151,0.5
