trajet,catr,circ,nbv,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col,catv,obs,obsm,choc,pieton,sexe_conducteur,age,Num_Acc,Y
4,2,1,0,1,1,2,0,1,2,10,5,92,2,1,2,7,0,0,0,0,0,1,32,202200000056,0
1,3,2,2,2,1,1,0,1,2,10,5,92,2,1,1,2,3,0,2,4,0,1,48,202200000057,0
5,3,2,2,2,1,1,0,1,2,10,5,92,2,1,1,2,3,0,2,4,0,1,29,202200000057,0
1,4,2,2,4,1,1,0,1,2,10,5,92,2,1,1,2,1,0,2,2,0,0,32,202200000058,0
1,4,2,2,4,1,1,0,1,2,10,5,92,2,1,1,2,1,0,2,2,0,1,62,202200000058,0
4,4,1,1,1,1,2,0,1,2,10,1,92,2,9,2,3,4,0,2,5,0,1,49,202200000059,0
1,4,1,1,1,1,2,0,1,2,10,1,92,2,9,2,3,4,0,2,5,0,0,27,202200000059,0
0,4,1,1,1,1,2,0,4,1,10,1,92,2,1,2,3,3,0,2,1,0,0,55,202200000060,0
0,4,1,1,1,1,2,0,4,1,10,1,92,2,1,2,3,3,0,2,1,0,1,46,202200000060,0
4,3,2,3,2,1,2,0,1,2,10,1,92,2,1,2,6,0,0,2,2,1,1,42,202200000061,0
5,3,1,1,1,1,2,0,1,2,10,5,92,2,1,9,3,0,0,2,2,0,1,26,202200000064,0
5,3,1,1,1,1,2,0,1,2,10,5,92,2,1,9,3,0,0,2,2,0,1,40,202200000064,0
5,1,3,2,1,2,1,0,1,4,10,3,76,1,1,1,6,3,3,0,7,0,0,21,202200000065,1
5,2,1,1,1,1,1,0,1,2,10,5,972,2,1,1,6,0,0,-1,0,0,1,26,202200000067,0
3,3,2,2,1,1,1,0,1,2,10,1,63,2,1,1,6,3,0,1,2,1,1,74,202200000068,0
5,2,3,2,1,2,2,0,1,3,10,3,22,1,1,8,2,0,0,2,2,0,1,21,202200000069,0
9,2,3,2,1,2,2,0,1,3,10,3,22,1,1,8,2,0,0,2,2,0,0,29,202200000069,0
4,1,3,4,1,1,1,0,1,3,10,1,76,1,1,1,1,0,0,1,7,1,1,21,202200000070,1
4,2,2,2,1,1,2,0,1,3,10,3,51,1,1,2,3,0,0,2,3,0,1,42,202200000073,0
5,2,2,2,1,1,2,0,1,3,10,3,51,1,1,2,3,0,0,2,3,0,1,68,202200000073,0
9,2,1,1,2,1,1,0,3,2,10,3,51,1,6,1,7,3,15,0,9,0,1,34,202200000074,0
4,3,2,2,2,2,1,0,1,3,10,1,98,1,1,1,3,0,0,2,8,0,1,57,202200000075,0
5,3,2,2,2,2,1,0,1,3,10,1,98,1,1,1,3,0,0,2,8,0,1,85,202200000075,0
5,3,2,2,1,1,1,0,1,3,10,3,33,1,3,1,3,3,0,2,1,0,1,54,202200000077,0
5,3,2,2,1,1,1,0,1,3,10,3,33,1,3,1,3,3,0,2,1,0,1,21,202200000077,0
5,3,2,2,1,1,2,0,3,3,10,3,71,1,1,3,7,3,16,0,9,0,1,18,202200000078,0
5,3,2,2,1,1,2,0,1,3,10,3,71,2,3,3,1,3,0,2,1,0,1,73,202200000079,0
5,3,2,2,1,1,2,0,1,3,10,3,71,2,3,3,1,3,0,2,1,0,1,35,202200000079,0
5,3,2,2,1,1,2,0,1,3,10,1,71,1,2,5,3,3,0,2,3,0,1,74,202200000080,0
5,3,2,2,1,1,2,0,1,3,10,1,71,1,2,5,3,3,0,2,3,0,0,21,202200000080,0
5,3,2,2,1,3,1,0,1,3,10,1,89,1,1,1,1,3,0,2,1,0,1,25,202200000082,1
4,3,2,2,1,3,1,0,1,3,10,1,89,1,1,1,1,3,0,2,1,0,1,34,202200000082,1
1,3,2,2,2,2,2,0,1,3,10,2,63,1,3,2,3,3,0,9,3,0,1,56,202200000083,0
5,3,2,2,2,2,2,0,1,3,10,2,63,1,3,2,3,3,0,9,3,0,1,36,202200000083,0
5,3,2,2,2,2,1,0,1,3,10,1,61,1,1,1,7,3,0,0,0,0,0,53,202200000085,0
9,4,2,2,1,1,2,0,3,3,10,3,22,1,1,2,6,3,2,0,1,0,1,21,202200000086,0
5,4,2,2,1,1,9,0,3,3,10,1,38,1,1,1,6,3,2,0,2,0,0,25,202200000088,0
1,3,2,2,1,2,1,0,1,3,10,3,2,1,1,1,7,5,0,0,0,0,1,41,202200000089,0
5,3,2,2,1,1,2,0,3,3,10,1,26,1,1,8,6,3,13,0,1,0,1,20,202200000090,0
4,3,2,2,2,1,1,0,1,3,10,1,9,1,1,1,2,4,0,2,2,0,1,29,202200000092,0
5,3,2,2,2,1,1,0,1,3,10,1,9,1,1,1,2,4,0,2,2,0,1,64,202200000092,0
0,3,2,2,1,1,1,9,6,3,10,1,60,1,9,1,6,5,0,2,1,0,1,35,202200000093,0
5,3,2,2,1,1,1,9,6,3,10,1,60,1,9,1,6,5,0,2,1,0,0,57,202200000093,0
0,3,2,2,1,4,2,0,1,2,9,1,45,2,1,2,7,2,0,0,2,0,1,21,202200000094,0
5,3,2,2,1,1,2,0,1,2,10,1,73,2,3,1,3,3,0,2,1,0,1,70,202200000095,0
4,3,2,2,1,1,2,0,1,2,10,1,73,2,3,1,3,3,0,2,1,0,1,57,202200000095,0
5,3,2,2,2,1,1,0,1,3,9,1,24,1,3,1,2,3,0,2,1,0,1,45,202200000098,0
9,3,2,2,2,1,1,0,1,3,9,1,24,1,3,1,2,3,0,2,1,0,0,18,202200000098,0
5,3,2,2,1,1,1,0,1,2,10,1,17,2,3,1,3,2,0,2,7,0,0,15,202200000100,0
4,3,2,2,1,1,1,0,1,2,10,1,17,2,3,1,3,2,0,2,7,0,1,54,202200000100,0
5,3,2,2,1,1,2,0,1,3,10,3,48,1,1,8,6,3,13,0,9,0,1,16,202200000101,0
5,2,2,4,1,1,1,0,5,3,10,3,973,1,1,1,2,3,0,2,1,0,1,65,202200000102,0
1,2,2,4,1,1,1,0,5,3,10,3,973,1,1,1,2,3,0,2,1,0,1,47,202200000102,0
5,3,2,2,2,1,1,0,1,2,10,5,77,2,1,1,1,3,0,2,3,0,1,39,202200000103,0
4,3,2,2,2,1,1,0,1,2,10,5,77,2,1,1,1,3,0,2,3,0,1,38,202200000103,0
5,1,3,4,1,2,1,0,8,4,10,1,33,1,1,1,6,3,8,0,1,0,1,24,202200000105,0
1,3,2,2,1,1,2,0,1,3,10,3,71,1,1,3,3,3,1,0,1,0,0,29,202200000106,0
4,3,2,2,1,1,2,0,1,3,10,3,71,1,1,3,3,3,1,0,1,0,1,24,202200000106,0
5,3,2,2,1,2,1,0,8,2,10,1,988,2,1,1,6,3,13,0,2,0,1,21,202200000107,0
0,3,2,2,2,1,1,0,1,2,10,1,8,1,1,1,1,2,0,2,1,0,0,68,202200000112,1
5,3,2,2,2,1,1,0,1,2,10,1,8,1,1,1,1,2,0,2,1,0,1,21,202200000112,1
5,3,2,2,1,1,2,0,3,3,10,3,68,1,1,3,6,3,2,0,3,0,1,32,202200000113,1
5,3,2,2,1,3,1,5,4,2,10,1,67,2,6,1,6,5,14,0,1,0,1,53,202200000114,0
0,3,2,2,1,1,1,2,1,2,10,1,3,1,1,1,1,3,0,2,1,0,0,19,202200000116,0
0,3,2,2,1,1,1,2,1,2,10,1,3,1,1,1,1,3,0,2,1,0,1,17,202200000116,0
5,3,2,2,1,1,1,0,1,2,10,1,17,1,1,1,6,4,0,1,2,1,1,21,202200000118,1
5,3,3,2,2,1,1,0,1,2,9,1,56,2,1,1,3,3,0,2,5,0,1,96,202200000120,0
5,3,3,2,2,1,1,0,1,2,9,1,56,2,1,1,3,3,0,2,5,0,1,57,202200000120,0
5,3,2,2,2,1,1,0,1,3,10,1,2,1,1,1,2,0,0,2,2,0,1,29,202200000122,0
5,3,2,2,2,1,1,0,1,3,10,1,2,1,1,1,2,0,0,2,2,0,1,52,202200000122,0
4,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,66,202200000123,0
4,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,45,202200000123,0
4,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,52,202200000123,0
4,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,60,202200000123,0
4,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,34,202200000123,0
4,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,55,202200000123,0
5,1,1,3,1,1,1,1,1,4,10,1,13,1,1,1,5,3,0,2,0,0,1,59,202200000123,0
1,5,2,9,2,1,1,0,1,2,10,3,69,1,1,1,5,3,0,2,2,0,1,56,202200000124,0
2,5,2,9,2,1,1,0,1,2,10,3,69,1,1,1,5,3,0,2,2,0,1,27,202200000124,0
-1,5,2,9,2,1,1,0,1,2,10,3,69,1,1,1,5,3,0,2,2,0,0,21,202200000124,0
1,1,3,6,1,1,2,0,1,2,10,3,69,1,1,3,2,3,0,2,1,0,1,32,202200000125,0
1,1,3,6,1,1,2,0,1,2,10,3,69,1,1,3,2,3,0,2,1,0,1,56,202200000125,0
5,2,3,8,1,1,1,3,1,3,10,1,33,1,1,1,4,3,0,2,4,0,1,29,202200000126,0
5,2,3,8,1,1,1,3,1,3,10,1,33,1,1,1,4,3,0,2,4,0,1,35,202200000126,0
9,2,3,8,1,1,1,3,1,3,10,1,33,1,1,1,4,3,0,2,4,0,1,21,202200000126,0
4,2,3,8,1,1,1,3,1,3,10,1,33,1,1,1,4,3,0,2,4,0,1,63,202200000126,0
5,2,1,1,4,3,1,3,1,2,10,1,33,1,1,1,7,5,16,0,1,0,1,68,202200000127,0
1,2,3,6,1,1,2,0,1,3,10,1,33,1,1,1,2,5,0,2,4,0,1,46,202200000128,0
1,2,3,6,1,1,2,0,1,3,10,1,33,1,1,1,2,5,0,2,4,0,1,22,202200000128,0
4,1,1,3,1,1,1,0,1,4,10,1,91,1,1,1,5,4,0,2,4,0,1,43,202200000130,0
0,1,1,3,1,1,1,0,1,4,10,1,91,1,1,1,5,4,0,2,4,0,0,40,202200000130,0
0,1,1,3,1,1,1,0,1,4,10,1,91,1,1,1,5,4,0,2,4,0,1,21,202200000130,0
4,1,1,3,1,1,1,0,1,4,10,1,91,1,1,1,5,4,0,2,4,0,0,28,202200000130,0
9,1,3,3,1,1,2,0,1,4,10,1,91,1,1,1,4,4,0,2,4,0,0,21,202200000131,0
0,1,3,3,1,1,2,0,1,4,10,1,91,1,1,1,4,4,0,2,4,0,1,35,202200000131,0
5,1,3,3,1,1,2,0,1,4,10,1,91,1,1,1,4,4,0,2,4,0,1,25,202200000131,0
